4,1547,3079,67,2443,1253,21,264,1
9,1328,3425,38,3117,1171,17,82,1
14,608,78,46,2034,1487,9,62,1
18,626,118,20,578,1082,26,229,1
8,1297,2415,15,1472,1024,18,174,1
20,625,45,59,587,963,13,58,1
8,1710,2109,50,3472,836,15,60,1
6,1500,2520,21,1048,961,16,68,1
9,1494,2300,56,2777,2000,21,238,1
3,1211,1972,57,792,957,7,47,1
6,1669,3508,59,929,1067,16,268,1
19,614,147,61,600,1016,18,40,1
24,1318,130,22,617,988,17,239,1
6,1677,3192,20,629,950,13,67,1
7,1623,2590,62,1268,907,14,67,1
18,1243,77,61,1138,974,8,88,1
6,1467,3361,35,2326,1228,23,53,1
1,1054,2109,55,618,962,20,174,1
28,701,88,40,2517,1632,12,42,1
9,1449,2883,17,762,995,12,255,1
12,1311,1705,52,2154,1876,17,188,1
23,760,84,47,2580,1120,20,78,1
20,503,108,52,2187,1441,22,187,1
15,535,77,39,1596,1742,7,174,1
26,1035,87,51,2211,1789,17,51,1
23,1558,94,61,2319,1882,13,270,1
9,2003,1579,60,1192,939,20,157,1
12,1101,3051,58,632,897,6,243,1
5,1675,1870,60,2725,1181,17,53,1
15,1493,1997,32,1980,1217,10,97,1
20,1374,100,21,659,1037,14,84,1
15,914,102,52,3008,1627,14,263,1
4,1338,2025,17,1126,810,9,69,1
25,813,63,48,2128,1477,12,258,1
21,843,96,67,2262,1677,20,284,1
8,944,2655,15,696,1044,5,61,1
22,1088,64,58,585,1016,13,130,1
6,1220,2088,46,2745,2120,26,139,1
21,1623,54,19,585,890,24,61,1
16,1844,2404,60,1390,1045,18,51,1
9,1724,3470,21,1356,1009,14,52,1
9,1310,2383,54,1602,1415,9,63,1
18,689,69,45,2174,837,22,140,1
20,616,57,52,2754,1485,10,46,1
9,1456,2654,37,2160,1964,27,131,1
2,1556,2571,57,1230,831,19,200,1
22,620,115,59,721,1185,16,60,1
4,1569,2512,19,921,962,24,45,1
7,1105,1954,22,1680,1013,22,240,1
14,873,70,44,2632,1390,15,57,1
23,508,44,62,2259,1637,19,54,1
8,1254,2181,20,615,993,7,67,1
6,1865,2762,43,2727,1289,21,52,1
20,577,119,61,598,1017,16,149,1
9,1459,2830,44,2418,1489,12,281,1
9,1633,1927,66,2498,1572,22,128,1
19,652,114,46,2476,1788,12,189,1
8,1297,1768,51,2393,1732,24,58,1
21,647,71,59,1290,1076,23,64,1
18,936,68,38,3062,1077,24,262,1
15,909,122,21,471,874,23,77,1
20,1323,97,61,956,880,6,52,1
7,1597,3058,20,910,956,19,56,1
7,1613,3780,52,1531,1618,25,59,1
14,1334,83,54,2741,1652,17,283,1
14,637,131,19,606,922,15,45,1
13,1153,2314,50,1662,1448,16,126,1
2,1564,2446,46,1258,1252,19,78,1
20,486,107,63,635,967,22,137,1
12,1238,3807,60,636,1081,14,115,1
4,1146,2958,58,2286,1998,13,190,1
19,1222,85,63,2448,1153,10,54,1
16,1279,88,19,664,931,12,293,1
16,1085,106,62,608,952,20,51,1
4,1548,2213,17,555,1166,2,63,1
13,1140,1863,55,589,881,17,170,1
22,1500,4041,19,757,1096,17,264,1
23,808,99,41,2560,1364,14,63,1
16,1350,131,47,2444,1920,2,60,1
22,1013,113,41,1926,1500,8,54,1
6,1728,3829,48,2427,1823,8,76,1
25,1107,74,50,2590,1234,13,172,1
23,858,71,50,2481,1053,8,51,1
19,590,109,57,1062,1136,27,50,1
11,1466,2078,66,2259,1626,16,95,1
17,532,68,66,2011,1303,17,47,1
12,1555,3150,47,3187,1719,23,50,1
6,1142,3705,52,2256,1115,22,80,1
7,1822,3557,41,2199,1238,32,224,1
21,489,80,40,2619,1873,17,271,1
22,619,137,55,2512,1262,18,78,1
11,1459,2937,24,600,956,8,189,1
21,1013,131,23,603,909,20,71,1
14,1302,1646,23,699,982,19,187,1
8,1635,3372,60,1399,964,10,154,1
16,528,66,51,2184,1644,18,66,1
3,1572,4486,49,1725,1293,14,228,1
15,880,82,53,3007,1216,18,82,1
24,1410,96,55,773,1106,10,211,1
6,1754,3300,18,1026,945,7,298,1
17,578,89,21,1645,994,13,63,1
10,1095,1161,45,2665,1443,27,69,1
8,1584,2484,59,543,871,20,184,1
7,1378,1175,51,1478,1482,26,287,1
21,1054,141,51,2772,1272,17,61,1
3,1659,2431,21,591,1063,14,48,1
22,491,105,45,2711,1927,9,68,1
20,636,105,63,663,797,19,34,1
25,818,82,61,1302,1206,25,292,1
17,668,100,48,3874,1360,27,298,1
6,1610,1465,56,2269,1091,24,271,1
10,1695,1293,20,1531,1071,22,66,1
26,631,111,58,2394,1620,16,50,1
17,1467,72,53,2856,1489,7,84,1
26,566,112,19,642,1049,21,54,1
28,607,91,18,540,1224,19,281,1
18,511,110,53,1818,1624,12,50,1
9,1229,1781,62,966,775,18,154,1
6,1344,2362,51,2614,1533,9,53,1
0,1343,2329,51,1749,1838,16,62,1
19,1309,93,58,579,881,17,78,1
18,1066,133,60,540,1111,9,186,1
19,570,107,47,2325,1892,12,61,1
4,959,3021,62,2607,1379,13,68,1
15,561,68,64,1414,954,18,53,1
2,1356,2347,58,2433,1262,7,124,1
17,1645,132,46,2134,1769,6,251,1
26,1595,69,21,706,991,7,64,1
13,1467,3295,41,2092,1751,8,230,1
23,918,71,55,2453,1632,7,61,1
14,1412,2126,62,580,903,17,55,1
22,1108,134,42,2127,1133,18,60,1
5,1509,2195,61,2562,1751,27,184,1
0,1414,2580,24,1213,1025,22,82,1
13,1017,2122,18,645,1095,20,64,1
14,1382,2398,64,523,1127,8,42,1
17,1611,127,60,622,1023,20,200,1
27,633,67,21,856,1054,9,70,1
7,1673,2076,52,2298,1654,19,65,1
17,908,114,44,3232,1559,14,32,1
15,667,77,20,805,923,11,132,1
19,1145,101,21,626,932,5,79,1
21,640,129,66,2041,1388,15,58,1
21,745,91,61,1196,1146,14,42,1
8,1504,2488,23,534,924,28,50,1
26,1099,104,64,654,1034,23,66,1
11,1263,3740,18,1465,952,9,204,1
17,617,97,54,2044,1395,19,61,1
5,1522,2762,60,1139,1118,3,79,1
9,1600,2944,22,1499,1070,15,149,1
19,590,94,19,1266,963,13,181,1
12,1726,696,41,2578,1440,10,63,1
7,1600,1438,54,3662,1087,16,51,1
17,650,102,22,526,923,11,45,1
9,1385,1648,20,1110,1033,28,153,1
10,1658,2794,58,795,972,21,165,1
22,683,117,23,1392,1068,16,274,1
4,1568,3863,45,2727,1353,22,85,1
11,1689,1704,58,930,926,16,66,1
23,1329,115,46,3069,1380,14,60,1
18,572,99,19,630,1192,20,66,1
23,626,62,49,2349,1160,21,242,1
20,674,105,21,1361,1039,12,61,1
15,1442,3443,49,1430,1789,18,43,1
21,993,116,53,2956,1765,18,61,1
7,1693,2076,56,2259,1789,12,36,1
18,575,102,15,629,875,12,299,1
25,527,110,48,2753,2026,26,170,1
21,628,73,57,607,907,20,60,1
22,1514,137,60,992,1098,11,105,1
